Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,CNET - Label,CNET - Points,StereoNET - Label,StereoNET - Points,TechRadar - Label,TechRadar - Points,Vinyl Pickup - Label,Vinyl Pickup - Points,What Hi-Fi - Label,What Hi-Fi - Points,Why Picked
Rekkord F400,,936.0,2.0,1,,,Editor’s Choice — Applause Award — StereoNET Product of the Year 2026 Winner,2.0,,,,,,,
Technics SL-1200GR2,,2799.0,2.0,1,,,Editor’s Choice — Applause Award — StereoNET Product of the Year 2025 Winner,2.0,,,,,,,
VPI Model One,,7850.0,2.0,1,,,Applause Award,2.0,,,,,,,
House of Marley Revolution,,179.99,1.5,1,,,,,Best super budget beginner deck,1.5,,,,,
Majority Folio,,199.99,1.5,1,,,,,Best cheap,1.5,,,,,
Pro-Ject Primary E,,219.99,1.5,1,,,,,,,,,Best budget turntable,1.5,
Audio-Technica AT-LP70X,,249.8,1.5,1,Runner-up,1.5,,,,,,,,,
Audio-Technica AT-LP70XBT,,329.0,1.5,1,,,,,Best step-up deck,1.5,,,,,
Fluance RT81,,349.99,1.5,1,,,,,Best mid-priced,1.5,,,,,
FiiO TT13,,399.99,1.5,1,,,,,Best for design,1.5,,,,,
Pro-Ject T1 Evo BT,,649.99,1.5,1,,,,,,,,,Best Bluetooth turntable,1.5,
Rega Planar PL1,,699.0,1.5,1,,,,,Best affordable turntable for tinkerers,1.5,,,,,
Audio-Technica AT-LP5X,,779.0,1.5,1,,,,,,,,,Best USB turntable,1.5,
Rega Planar 1 Plus,,799.99,1.5,1,,,,,,,,,Best budget turntable with phono stage,1.5,
Pro-Ject Juke Box E1,,899.0,1.5,1,,,,,Best all-in-one record player,1.5,,,,,
Pioneer DJ PLX-1000 Professional Turntable,,1149.0,1.5,1,,,,,,,Best for DJs,1.5,,,
Audio-Technica AT-LP7X,,1299.0,1.5,1,,,One to Watch,1.5,,,,,,,
Pro-Ject Debut Reference 10,,1799.0,1.5,1,,,One to Watch,1.5,,,,,,,
Avid Ingenium Plug & Play,,2599.0,1.5,1,,,,,Best plug and play,1.5,,,,,
Cambridge Audio Alva TT V2,,3499.0,1.5,1,,,,,Best high-end,1.5,,,,,
Linn Sondek LP12,,6585.0,1.5,1,,,One to Watch,1.5,,,,,,,
TechDAS Air Force IV,,,1.5,1,,,One to Watch,1.5,,,,,,,
U-Turn Audio Orbit Theory,,,1.5,1,Runner-up,1.5,,,,,,,,,
Vertere DG-X,,,1.5,1,,,,,,,,,Best high-end turntable,1.5,
Wilson Benesch Greenwich,,,1.5,1,,,One to Watch,1.5,,,,,,,
Crosley Cruiser Deluxe,,72.99,1.0,1,Mentioned,1.0,,,,,,,,,
Victrola Eastwood,,128.0,1.0,1,Mentioned,1.0,,,,,,,,,
Pro-Ject Primary,,219.99,1.0,1,Mentioned,1.0,,,,,,,,,
Monolith by Monoprice Belt-Drive Turntable,,317.25,1.0,1,Mentioned,1.0,,,,,,,,,
Crosley C10A,,399.99,1.0,1,Mentioned,1.0,,,,,,,,,
Music Hall MMF-1.3,,499.0,1.0,1,Mentioned,1.0,,,,,,,,,
Audio-Technica AT-LPW40WN,,529.0,1.0,1,Mentioned,1.0,,,,,,,,,
Pro-Ject T1,,529.99,1.0,1,Mentioned,1.0,,,,,,,,,
Cambridge Audio Alva ST,,599.0,1.0,1,Mentioned,1.0,,,,,,,,,
Victrola Stream Carbon,,1119.99,1.0,1,Mentioned,1.0,,,,,,,,,
Dual CS 529BT,,1699.0,1.0,1,,,Also Reviewed,1.0,,,,,,,
Obi3 Bluetooth Turntable with Phono Pre-Amp,,199.99,0,0,,,,,,,,,,,
Oracle Origine MkII Turntable,,2975.0,0,0,,,,,,,,,,,
Pure Fidelity Harmony MKII Turntable,,11295.0,0,0,,,,,,,,,,,
Kronos Pro Turntable,,,0,0,,,,,,,,,,,
