Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,Business Insider - Label,Business Insider - Points,CNN - Label,CNN - Points,Consumer Reports - Label,Consumer Reports - Points,Good Housekeeping - Label,Good Housekeeping - Points,NYMag - Label,NYMag - Points,Outdoor Life - Label,Outdoor Life - Points,Reviewed - Label,Reviewed - Points,The Spruce - Label,The Spruce - Points,WIRED - Label,WIRED - Points,Wirecutter - Label,Wirecutter - Points,Why Picked
Murphy’s Naturals Lemon Eucalyptus Oil Mosquito & Tick Repellent Spray,,12.99,1.5,1,,,,,,,,,,,Best Natural,1.5,,,,,,,,,
Proven Mosquito & Tick Repellent Spray (Odorless),,12.99,1.5,1,,,,,Runner-up,1.5,,,,,,,,,,,,,,,
Repel 100 Insect Repellent,,13.0,1.5,1,,,,,,,,,,,Best Bug Spray,1.5,,,,,,,,,
Cutter Deep Woods Dry Insect Repellent,,13.99,1.5,1,,,,,,,,,,,,,,,,,Best Dry Feel,1.5,,,
Repel Plant-Based Lemon Eucalyptus Insect Repellent,,13.99,1.5,1,,,,,,,,,,,,,,,,,Best Spray,1.5,,,
Ben's Adventure Formula Sweat Resistant Tick & Insect Repellent,,16.99,1.5,1,,,,,Runner-up,1.5,,,,,,,,,,,,,,,
FVOAI Mosquito Killer Zap M3 Pro,,18.0,1.5,1,,,,,,,,,,,Best Tabletop,1.5,,,,,,,,,
Sawyer 20% DEET Premium Family Insect Repellent Controlled Release,,27.0,1.5,1,,,,,,,,,,,,,,,,,Best Lotion,1.5,,,
Stansport Lantern Bug Zapper,,49.99,1.5,1,,,,,,,,,,,Best for Tents,1.5,,,,,,,,,
"Wondercide Mosquito, Tick, & Insect Repellent",,64.0,1.5,1,,,,,,,Best Essential Oils-Based,1.5,,,,,,,,,,,,,
PIC Solar Insect Killer Torch,,68.95,1.5,1,,,,,,,,,,,Best Outdoor,1.5,,,,,,,,,
DynaTrap Indoor Insect Trap,,69.99,1.5,1,,,,,,,,,,,Best Indoor for Gnats,1.5,,,,,,,,,
Thermacell EX90 Mosquito Repeller,,79.95,1.5,1,,,,,,,,,,,Best for Backyards,1.5,,,,,,,,,
Thermacell E65 Rechargeable Mosquito Repeller,,79.99,1.5,1,,,strong_pick,1.5,,,,,,,,,,,,,,,,,
Ryobi ONE+ 18-Volt Bug Zapper,,110.0,1.5,1,,,,,,,,,,,,,,,Best Portable,1.5,,,,,
Royal Robbins Amp Lite II Long-Sleeve Performance Shirt,,114.99,1.5,1,,,strong_pick,1.5,,,,,,,,,,,,,,,,,
DynaTrap ½ Acre Decora Series Mosquito and Insect Trap,,129.97,1.5,1,,,,,,,,,,,Largest Range,1.5,,,,,,,,,
Aspectek Indoor Insect Killer,Best Canadian Option,138.25,1.5,1,,,,,,,,,,,Best Zapper,1.5,,,,,,,,,Canadian-owned brand.
DynaTrap Insect Trap with Optional Wall Mount,,147.99,1.5,1,,,,,,,,,,,,,,,Best Design,1.5,,,,,
Gardner Fly Light Indoor UV Insect Trap,,214.58,1.5,1,,,,,,,,,,,,,,,Best Plug-In,1.5,,,,,
Awoco LED 5W Wall Mount Sconce,,,1.5,1,,,,,,,,,,,,,,,Best Wall-Mounted,1.5,,,,,
Black Flag Bug Zapper Insect Killer,,,1.5,1,,,,,,,,,,,,,,,Best Outdoor,1.5,,,,,
Coleman Insect Repellent Spray (IR3535),,,1.5,1,,,,,,,,,,,,,,,,,Best IR3535 Bug Repellent,1.5,,,
Mossiller Electric Fly Swatter,,,1.5,1,,,,,,,,,,,Best Handheld,1.5,,,,,,,,,
Sawyer Permethrin Insect Repellent,,,1.5,1,,,,,,,,,,,Best for Treating Clothing,1.5,,,,,,,,,
Sawyer Picaridin Insect Repellent Lotion,,,1.5,1,,,,,,,,,,,Best Lotion,1.5,,,,,,,,,
Avon Skin So Soft Bug Guard Plus Picaridin Towelettes,,,1.5,1,,,,,,,,,,,,,,,,,Best Wipes,1.5,,,
DynaTrap Mosquito & Flying Insect Trap,,69.99,1.0,1,,,,,,,,,,,,,Mentioned,1.0,,,,,,,
Livin' Well Insect Zapper,,,1.0,1,,,,,,,,,,,,,Mentioned,1.0,,,,,,,
MOSQUITO SHIELD™ MOSQUITO COILS – 55 hrs – 135g,,3.99,0,0,,,,,,,,,,,,,,,,,,,,,
PiACTIVE ORIGINAL DEET FREE Insect Repellent Lotion 12HR! – 120ml,,5.96,0,0,,,,,,,,,,,,,,,,,,,,,
Citrobug Natural Mosquito Repellent – 125 mL,,11.99,0,0,,,,,,,,,,,,,,,,,,,,,
Jungle Juice Mosquito Repellent – 200g,,17.99,0,0,,,,,,,,,,,,,,,,,,,,,
Druide Mosquito Repellent – Lemon Eucalyptus – 250 ml,,22.99,0,0,,,,,,,,,,,,,,,,,,,,,
PureGard 500 ml Botanical Repellent Spray,,59.99,0,0,,,,,,,,,,,,,,,,,,,,,
