Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,CNN - Label,CNN - Points,Esquire - Label,Esquire - Points,GQ - Label,GQ - Points,Good Housekeeping - Label,Good Housekeeping - Points,Mens Health - Label,Mens Health - Points,NBC News - Label,NBC News - Points,NYMag - Label,NYMag - Points,Reviewed - Label,Reviewed - Points,Wirecutter - Label,Wirecutter - Points,Why Picked
The Big Favorite The Relaxed Crew,,42.0,1.5,1,,,,,,,,,,,,,Best sustainable white T-shirt,1.5,,,,,
J.Crew Vintage-Wash Cotton Pocket T-Shirt,,44.99,1.5,1,,,,,Worn-In White T-Shirt,1.5,,,,,,,,,,,,,
True Classic Classic Crew Neck,,44.99,1.5,1,,,,,,,,,Best Slim Shirt,1.5,,,,,,,,,
Bonobos Soft Everyday Tee,,45.0,1.5,1,,,,,,,,,,,,,,,,,Best Boxy Fit,1.5,
Mott & Bow Heavyweight Pocket Tee,,46.0,1.5,1,,,Best White Pocket T-Shirt,1.5,,,,,,,,,,,,,,,
Bombas Pima Cotton Crew Neck T-Shirt,,58.0,1.5,1,,,,,,,Best Lightweight,1.5,,,,,,,,,,,
lululemon Organic Cotton Classic-Fit T-Shirt,,58.0,1.5,1,,,Best White T-Shirt With Some Stretch,1.5,,,,,,,,,,,,,,,
Hanes 3-Pack T-Shirts,,65.71,1.5,1,,,,,,,,,Best Value White T-Shirt,1.5,,,,,,,,,
Alex Mill The Standard T-Shirt In Slub Cotton,,68.0,1.5,1,,,,,,,,,Best Everyday White T-Shirt,1.5,,,,,,,,,
Reigning Champ Midweight Jersey OG T-Shirt,,68.0,1.5,1,,,,,,,,,Best Heavy Shirt,1.5,,,,,,,,,
Asket The T-Shirt,,70.0,1.5,1,,,,,,,,,,,#5 Ranked,1.5,,,,,,,
Ralph Lauren RRL Jersey Crewneck T-Shirt,,75.0,1.5,1,,,,,,,,,,,,,Best white T-shirt for broad shoulders,1.5,,,,,
Jungmaven Original Tee,,80.0,1.5,1,,,,,,,,,,,,,Best hemp white T-shirt,1.5,,,,,
Vince Garment Dye Cotton Short-Sleeve T-Shirt,,88.0,1.5,1,,,,,,,,,Best Luxury Shirt,1.5,,,,,,,,,
CDLP Heavyweight T-Shirt,,145.0,1.5,1,,,,,Softest White T-Shirt,1.5,,,,,,,,,,,,,
Merz b. Schwanen 215 LoopWheeled T-Shirt,,164.99,1.5,1,,,The 'Yes Chef' White T-Shirt,1.5,,,,,,,,,,,,,,,
Imogene + Willie Cotton Project Tee,,,1.5,1,,,The Sustainable Pick,1.5,,,,,,,,,,,,,,,
J.Crew Sueded Cotton T-Shirt,,,1.5,1,,,,,,,,,Softest White T-Shirt,1.5,,,,,,,,,
The Row Luke T-Shirt,,,1.5,1,,,The High-Fashion White T-Shirt,1.5,,,,,,,,,,,,,,,
Warehouse & Co. 4601 Cotton Tee,,,1.5,1,,,Another High-Concept Americana Replication,1.5,,,,,,,,,,,,,,,
Amazon Essentials Men’s 6-Pack Crewneck Undershirts,,13.85,1.0,1,,,,,,,,,,,,,,,Mentioned,1.0,,,
Gap Jersey Crew Neck T-Shirt,,23.0,1.0,1,,,,,,,,,,,#22 Ranked,1.0,,,,,,,
Banana Republic Premium Wash T-Shirt,,24.0,1.0,1,,,,,,,,,,,#9 Ranked,1.0,,,,,,,
Carhartt Loose Fit Heavyweight Tee,,28.95,1.0,1,,,,,,,,,,,#20 Ranked,1.0,,,,,,,
Abercrombie Premium Heavyweight Tee,,37.5,1.0,1,,,,,,,,,,,#15 Ranked,1.0,,,,,,,
Everybody World Short Sleeve Trash Tee,,48.0,1.0,1,,,,,,,,,,,#11 Ranked,1.0,,,,,,,
Gildan Men’s Crew T-Shirt (5-Pack),,48.88,1.0,1,,,,,,,,,,,,,,,Mentioned,1.0,,,
Gap Classic T-Shirt (2-Pack),,54.95,1.0,1,,,,,,,,,,,,,,,Mentioned,1.0,,,
Boxier Trash Tee,,57.0,1.0,1,,,,,Mentioned,1.0,,,,,,,,,,,,,
Alo Double Take Short Sleeve Tee,,62.4,1.0,1,,,,,,,,,,,#12 Ranked,1.0,,,,,,,
American Giant Men’s Classic Cotton Crew,,76.93,1.0,1,Mentioned,1.0,,,,,,,,,,,,,,,,,
214 Loopwheeled Relaxed Fit Midweight T-Shirt,,164.99,1.0,1,,,,,Mentioned,1.0,,,,,,,,,,,,,
Bombas Premium Weight T-Shirt,,,1.0,1,,,,,,,,,,,#14 Ranked,1.0,,,,,,,
Brooks Brothers Supima Cotton V-Neck Undershirt - 3 Pack,,,1.0,1,,,,,,,,,,,,,,,Mentioned,1.0,,,
Hanes Men’s ComfortSoft Crewneck Undershirt (3-Pack),,,1.0,1,,,,,,,,,,,,,,,Mentioned,1.0,,,
Tommy John Second Skin Crew Neck,,,1.0,1,,,,,,,,,,,#17 Ranked,1.0,,,,,,,
M1 T-Shirt – White (Bamboo and Organic Cotton),,24.99,0,0,,,,,,,,,,,,,,,,,,,
Understated Premium Organic Tee,,39.0,0,0,,,,,,,,,,,,,,,,,,,
Circular Knit Tee (10oz Ring-Spun Cotton Jersey),,45.0,0,0,,,,,,,,,,,,,,,,,,,
The Perfect T-Shirt,,,0,0,,,,,,,,,,,,,,,,,,,
